q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
-2.68934036415959	0.00715933803353629	-2.55270090366778	0.0106891243416685	1426	HGDP1KG	q3	eur-long	pruneall	StandingHeight	FGr-LOCO	0
-0.100393829800847	0.920031668125316	0.237099504324582	0.812579596896216	894	HGDP1KG	q3	eur-long	pruneall	StandingHeight	FGr-LOCO	40
-0.242689794231324	0.808245714158987	0.133278709634598	0.893972964624605	1624	HGDP1KG	q3	sdi-eur	pruneall	StandingHeight	no-FGr	0
-0.588268274282736	0.556352236869549	-1.37709452123908	0.168483026372253	910	HGDP1KG	q3	sdi-eur	pruneall	StandingHeight	no-FGr	40
0.558259480699411	0.576667209414537	1.13258495111568	0.257388591246953	1615	HGDP1KG	q3	sdi-eur	pruneall	StandingHeight	FGr-LOCO	0
-0.675559372034315	0.499320443768004	-1.54828865082903	0.12155281567497	909	HGDP1KG	q3	sdi-eur	pruneall	StandingHeight	FGr-LOCO	40
-35.5205299437462	2.36971269434385e-276	-44.2294260530048	0	1619	HGDP1KG	q3	eas-nfe	pruneall	StandingHeight	no-FGr	0
-0.381610870709998	0.702750019748959	0.691666575907726	0.489146741749024	780	HGDP1KG	q3	eas-nfe	pruneall	StandingHeight	no-FGr	40
6.86313085865798	6.73674612276591e-12	3.36807584825609	0.000756947686263042	1556	HGDP1KG	q3	eas-nfe	pruneall	StandingHeight	FGr-LOCO	0
-0.618721871123642	0.536099599259387	0.52087264598368	0.602455491965087	776	HGDP1KG	q3	eas-nfe	pruneall	StandingHeight	FGr-LOCO	40
-12.7698119808725	2.41737686184902e-37	-14.6910889066414	7.3522737836642e-49	1618	HGDP1KG	q3	eas-sas	pruneall	StandingHeight	no-FGr	0
-0.440312649384618	0.659710680403255	-0.183284090674665	0.854575116753143	805	HGDP1KG	q3	eas-sas	pruneall	StandingHeight	no-FGr	40
-2.48479730552576	0.0129625217971705	-1.9087071558527	0.0562998795386885	1402	HGDP1KG	q3	eas-sas	pruneall	StandingHeight	FGr-LOCO	0
-0.482452486184011	0.629484543588492	-0.246795881952108	0.805066197659789	805	HGDP1KG	q3	eas-sas	pruneall	StandingHeight	FGr-LOCO	40
0.893097352875179	0.371805040458844	3.0235989896179	0.00249787295008012	1619	HGDP1KG	q3	eas-afr	pruneall	StandingHeight	no-FGr	0
0.677640551020497	0.497999628267904	0.206623431120676	0.836303959742872	781	HGDP1KG	q3	eas-afr	pruneall	StandingHeight	no-FGr	40
-11.4762158523888	1.73718463434672e-30	-11.0467053676576	2.2740810238206e-28	1561	HGDP1KG	q3	eas-afr	pruneall	StandingHeight	FGr-LOCO	0
0.739342483920416	0.459699058042443	0.283678232204589	0.776656977901443	782	HGDP1KG	q3	eas-afr	pruneall	StandingHeight	FGr-LOCO	40
-25.4762798016529	3.61169798956543e-143	-29.2773629359876	2.01423206053987e-188	1619	HGDP1KG	q3	eas-amr	pruneall	StandingHeight	no-FGr	0
-0.970379108308236	0.331857558325109	-0.652749997292969	0.513917464280432	785	HGDP1KG	q3	eas-amr	pruneall	StandingHeight	no-FGr	40
-2.96456372335538	0.0030311245874963	-2.37410796035895	0.0175914060991546	1288	HGDP1KG	q3	eas-amr	pruneall	StandingHeight	FGr-LOCO	0
-1.09667912858571	0.272781683347388	-0.770445651793967	0.441035582076695	785	HGDP1KG	q3	eas-amr	pruneall	StandingHeight	FGr-LOCO	40
46.3920828530657	0	66.9739073408402	0	1618	HGDP1KG	q3	nfe-sas	pruneall	StandingHeight	no-FGr	0
0.476941179950328	0.633404007190529	-0.972357956691932	0.330872500293019	784	HGDP1KG	q3	nfe-sas	pruneall	StandingHeight	no-FGr	40
-11.0076806759028	3.5092131518962e-28	-5.43617729117386	5.44357924099108e-08	1552	HGDP1KG	q3	nfe-sas	pruneall	StandingHeight	FGr-LOCO	0
0.78364383705926	0.433249125839969	-0.764315732789001	0.444679112022955	785	HGDP1KG	q3	nfe-sas	pruneall	StandingHeight	FGr-LOCO	40
40.8052968411333	0	46.1336601704447	0	1619	HGDP1KG	q3	nfe-afr	pruneall	StandingHeight	no-FGr	0
1.3770265467045	0.168504040478411	-0.173882879007591	0.861957508221943	793	HGDP1KG	q3	nfe-afr	pruneall	StandingHeight	no-FGr	40
8.92141779241005	4.60356430925401e-19	5.89376189366266	3.77501027128539e-09	1458	HGDP1KG	q3	nfe-afr	pruneall	StandingHeight	FGr-LOCO	0
1.19418706277587	0.232404802609658	-0.222620203489684	0.823831110905409	792	HGDP1KG	q3	nfe-afr	pruneall	StandingHeight	FGr-LOCO	40
31.8762414235427	5.69995362749568e-223	38.3018479120746	0	1619	HGDP1KG	q3	nfe-amr	pruneall	StandingHeight	no-FGr	0
-0.13969213925142	0.888903237475666	-1.30608516409534	0.191523597589236	789	HGDP1KG	q3	nfe-amr	pruneall	StandingHeight	no-FGr	40
-12.6155534641999	1.7333559978822e-36	-6.91729806850404	4.60338866646215e-12	1552	HGDP1KG	q3	nfe-amr	pruneall	StandingHeight	FGr-LOCO	0
0.151682049847524	0.879437715488848	-0.989182433648037	0.322573891396621	793	HGDP1KG	q3	nfe-amr	pruneall	StandingHeight	FGr-LOCO	40
12.0565685155986	1.79090301320427e-33	14.9641805224249	1.25864734485463e-50	1619	HGDP1KG	q3	sas-afr	pruneall	StandingHeight	no-FGr	0
0.845687099692021	0.397727321572119	0.187256550444343	0.851459488062463	789	HGDP1KG	q3	sas-afr	pruneall	StandingHeight	no-FGr	40
-10.8240768293696	2.64733419388756e-27	-9.06594926865928	1.2352392434479e-19	1531	HGDP1KG	q3	sas-afr	pruneall	StandingHeight	FGr-LOCO	0
0.508887043205837	0.610831402415794	-0.129149809567572	0.897239109663226	787	HGDP1KG	q3	sas-afr	pruneall	StandingHeight	FGr-LOCO	40
-16.9399887557988	2.28168255326915e-64	-20.1441062238498	3.03131988289009e-90	1619	HGDP1KG	q3	sas-amr	pruneall	StandingHeight	no-FGr	0
-0.637595737352345	0.523736871184502	-0.109757984107472	0.912601313479835	795	HGDP1KG	q3	sas-amr	pruneall	StandingHeight	no-FGr	40
10.5887453143797	3.36066027055956e-26	8.39264479435075	4.75326049140807e-17	1602	HGDP1KG	q3	sas-amr	pruneall	StandingHeight	FGr-LOCO	0
-0.436505109946858	0.662470292568905	0.158820230368202	0.873810509584157	790	HGDP1KG	q3	sas-amr	pruneall	StandingHeight	FGr-LOCO	40
-22.8606766099121	1.14442708764245e-115	-26.2356952592394	1.04095268053842e-151	1620	HGDP1KG	q3	afr-amr	pruneall	StandingHeight	no-FGr	0
-1.05878191400992	0.289699112244171	-0.0753514884098773	0.939935056060065	789	HGDP1KG	q3	afr-amr	pruneall	StandingHeight	no-FGr	40
2.35117333433021	0.0187143137898616	2.79737241160336	0.00515201110622333	1488	HGDP1KG	q3	afr-amr	pruneall	StandingHeight	FGr-LOCO	0
-0.133229532380162	0.894011855572642	0.822278678203902	0.410918308876554	787	HGDP1KG	q3	afr-amr	pruneall	StandingHeight	FGr-LOCO	40
64.6820452637861	0	87.9977775112691	0	1690	HGDP1KG	q4	eurasia-lat	pruneall	StandingHeight	no-FGr	0
