PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
37	0.00168005714822221	2.82259202129255e-06	-0.00451795382506823	0.00787793904390328	0.0299083677566089	0.883044540473975	6.40966409664097e-05	SDS	e5	Han	even	all	pruneall
38	0.00118005740697993	1.39253548376819e-06	-0.00501794322215942	0.00737796737300879	0.0299097602920927	0.883044540473975	6.4050440504405e-05	SDS	e5	Han	even	all	pruneall
39	0.0041645945282349	1.7343847584604e-05	-0.00203342188660163	0.0103622909848482	0.0299271041396773	0.883044540473975	6.40362403624036e-05	SDS	e5	Han	even	all	pruneall
40	0.005067146107638	2.56759696761509e-05	-0.00113085333606645	0.0112647562549665	0.0299527801093535	0.883044540473975	6.39827398273983e-05	SDS	e5	Han	even	all	pruneall
1	-0.222926240322447	0.0496961086243012	-0.228808062713862	-0.21702814174621	0.0496961086243012	0.392362985758839	0.000249531495314953	SDS	e5	UK10K	even	all	pruneall
2	-0.672176648122815	0.451821446281622	-0.675560142957048	-0.668764843209423	0.501517554905924	0.392362985758839	0.000108156081560816	SDS	e5	UK10K	even	all	pruneall
3	-0.0482502691029543	0.00232808846850751	-0.0544319549683969	-0.0420648848227975	0.503845643374431	0.392362985758839	9.5060150601506e-05	SDS	e5	UK10K	even	all	pruneall
4	-0.165347527389521	0.0273398048138284	-0.171369868390098	-0.159312830118972	0.53118544818826	0.392362985758839	8.80475804758048e-05	SDS	e5	UK10K	even	all	pruneall
5	0.114748257009399	0.0131671624866951	0.108627549598262	0.12086026444575	0.544352610674955	0.392362985758839	7.74474744747448e-05	SDS	e5	UK10K	even	all	pruneall
6	0.0179692752314313	0.00032289485234293	0.0117726224546293	0.0241645478833176	0.544675505527297	0.392362985758839	6.75611756117561e-05	SDS	e5	UK10K	even	all	pruneall
7	0.0243448259813966	0.000592670552064481	0.0181496006166089	0.0305381820535319	0.545268176079362	0.392362985758839	6.7029570295703e-05	SDS	e5	UK10K	even	all	pruneall
8	-0.00334816741825142	1.12102250606404e-05	-0.00954593325089168	0.00284985564957981	0.545279386304423	0.392362985758839	6.64731647316473e-05	SDS	e5	UK10K	even	all	pruneall
9	-0.00688477734752752	4.74001591250281e-05	-0.0130821830379614	-0.000686842728069562	0.545326786463548	0.392362985758839	6.6169861698617e-05	SDS	e5	UK10K	even	all	pruneall
10	0.00870033816582864	7.56958841997744e-05	0.00250250918395287	0.0148974987555504	0.545402482347747	0.392362985758839	6.58151581515815e-05	SDS	e5	UK10K	even	all	pruneall
11	0.00428852868001048	1.83914782392724e-05	-0.00190948600254363	0.0104862138830511	0.545420873825987	0.392362985758839	6.56061560615606e-05	SDS	e5	UK10K	even	all	pruneall
12	0.00853836775503977	7.29037239203029e-05	0.00234052768878719	0.0147355518704728	0.545493777549907	0.392362985758839	6.54754547545475e-05	SDS	e5	UK10K	even	all	pruneall
13	0.0178731194944388	0.00031944840046249	0.0116764490477129	0.0240684171967299	0.545813225950369	0.392362985758839	6.54161541615416e-05	SDS	e5	UK10K	even	all	pruneall
14	0.00220196492515752	4.84864953162396e-06	-0.00399605353991634	0.00839981421515722	0.545818074599901	0.392362985758839	6.52835528355284e-05	SDS	e5	UK10K	even	all	pruneall
15	0.00220918953612458	4.88051840652236e-06	-0.00398882900896235	0.00840703835108211	0.545822955118308	0.392362985758839	6.52141521415214e-05	SDS	e5	UK10K	even	all	pruneall
16	0.000493755952949837	2.43794941073402e-07	-0.00570422543172346	0.00669169940260263	0.545823198913249	0.392362985758839	6.51429514295143e-05	SDS	e5	UK10K	even	all	pruneall
17	0.00838333850593588	7.02803645051072e-05	0.00218548813495274	0.0145805448343633	0.545893479277754	0.392362985758839	6.50133501335013e-05	SDS	e5	UK10K	even	all	pruneall
18	-0.0145514701597879	0.000211745283811198	-0.0207475628758697	-0.00835425969804836	0.546105224561565	0.392362985758839	6.49805498054981e-05	SDS	e5	UK10K	even	all	pruneall
19	0.00603423536820163	3.64119964788555e-05	-0.000163734683608385	0.0122317418295229	0.546141636558044	0.392362985758839	6.49117491174912e-05	SDS	e5	UK10K	even	all	pruneall
20	0.00125306240932037	1.57016540165178e-06	-0.0049449399233744	0.00745096846999075	0.546143206723445	0.392362985758839	6.48745487454875e-05	SDS	e5	UK10K	even	all	pruneall
21	-0.00450432216442148	2.02889181608986e-05	-0.0107019873184761	0.00169368904749366	0.546163495641606	0.392362985758839	6.48285482854829e-05	SDS	e5	UK10K	even	all	pruneall
22	-0.00530410260981715	2.81335044954691e-05	-0.0115016884241266	0.000893890704652212	0.546191629146102	0.392362985758839	6.48014480144802e-05	SDS	e5	UK10K	even	all	pruneall
23	0.00951769300196159	9.05864800795885e-05	0.00331992491725063	0.0157147299131855	0.546282215626181	0.392362985758839	6.47678476784768e-05	SDS	e5	UK10K	even	all	pruneall
24	0.00981587357954636	9.63513741296364e-05	0.00361812977274537	0.0160128633102141	0.546378567000311	0.392362985758839	6.46991469914699e-05	SDS	e5	UK10K	even	all	pruneall
25	0.00189625564426511	3.59578546840728e-06	-0.00430175884211723	0.00809412444277227	0.546382162785779	0.392362985758839	6.46681466814668e-05	SDS	e5	UK10K	even	all	pruneall
26	0.0122244039685883	0.000149436052387237	0.00602689667680484	0.0184209722057036	0.546531598838167	0.392362985758839	6.46253462534625e-05	SDS	e5	UK10K	even	all	pruneall
27	-0.0134222041874082	0.000180155565248478	-0.0196185360429129	-0.00722484129625597	0.546711754403415	0.392362985758839	6.45456454564546e-05	SDS	e5	UK10K	even	all	pruneall
28	0.00825036146718037	6.80684643391346e-05	0.00205250249466697	0.0144475866115793	0.546779822867754	0.392362985758839	6.45032450324503e-05	SDS	e5	UK10K	even	all	pruneall
29	-0.00980628410984824	9.6163208043062e-05	-0.0160032753749886	-0.00360853950511618	0.546875986075797	0.392362985758839	6.44789447894479e-05	SDS	e5	UK10K	even	all	pruneall
30	-0.00161942749712566	2.62254541844669e-06	-0.00781731296169501	0.00457858238694449	0.546878608621216	0.392362985758839	6.43520435204352e-05	SDS	e5	UK10K	even	all	pruneall
31	-0.0103337012305532	0.000106785381122336	-0.0165306064079408	-0.00413600220470243	0.546985394002338	0.392362985758839	6.43306433064331e-05	SDS	e5	UK10K	even	all	pruneall
32	0.0140276258338796	0.000196774286535327	0.00783034269702651	0.020223831447124	0.547182168288873	0.392362985758839	6.42972429724297e-05	SDS	e5	UK10K	even	all	pruneall
33	0.00334605706332688	1.11960978710397e-05	-0.00285196601099476	0.00954382306458963	0.547193364386745	0.392362985758839	6.42323423234232e-05	SDS	e5	UK10K	even	all	pruneall
34	-0.00389229276726861	1.51499429861315e-05	-0.0100900132809977	0.00230572678489065	0.547208514329731	0.392362985758839	6.42146421464215e-05	SDS	e5	UK10K	even	all	pruneall
