#FID	IID
4627258	4627258
2137358	2137358
4743220	4743220
2253610	2253610
1638086	1638086
5038137	5038137
5968128	5968128
3759574	3759574
1565802	1565802
5397819	5397819
2670120	2670120
5099467	5099467
2127018	2127018
5017769	5017769
5471615	5471615
4476714	4476714
5143972	5143972
4015165	4015165
1630791	1630791
3675989	3675989
2638456	2638456
5568550	5568550
2900071	2900071
2474411	2474411
5462510	5462510
1360026	1360026
2696031	2696031
4854442	4854442
5489084	5489084
5371366	5371366
1863595	1863595
2346146	2346146
3007604	3007604
1375842	1375842
4325700	4325700
2330798	2330798
4793776	4793776
1746758	1746758
4325359	4325359
4212407	4212407
5494228	5494228
5791866	5791866
2639072	2639072
1140280	1140280
5831872	5831872
3464416	3464416
5985783	5985783
2840810	2840810
1387718	1387718
5852165	5852165
2724190	2724190
5205143	5205143
5940236	5940236
4267943	4267943
3635561	3635561
5343885	5343885
4516560	4516560
2233101	2233101
2264094	2264094
1728555	1728555
3573768	3573768
2967469	2967469
2451426	2451426
4743073	4743073
1275995	1275995
2089756	2089756
3155924	3155924
5373058	5373058
5655271	5655271
3879247	3879247
4551097	4551097
3961960	3961960
3628555	3628555
4139086	4139086
5957466	5957466
2027427	2027427
2344155	2344155
1974178	1974178
5792672	5792672
4327666	4327666
3060847	3060847
4997415	4997415
2961837	2961837
4431995	4431995
1927965	1927965
1114454	1114454
2863752	2863752
4216422	4216422
4728668	4728668
2341920	2341920
2044763	2044763
3555750	3555750
5396124	5396124
4224893	4224893
4859547	4859547
1582874	1582874
3204300	3204300
2238287	2238287
1679543	1679543
3489272	3489272
1993398	1993398
3258664	3258664
1081184	1081184
1208428	1208428
4687074	4687074
2037984	2037984
2968299	2968299
4899426	4899426
2972487	2972487
3282234	3282234
5447228	5447228
5887523	5887523
3897786	3897786
3427312	3427312
3917827	3917827
5698196	5698196
3437707	3437707
3652007	3652007
5637181	5637181
1386035	1386035
5869119	5869119
1397983	1397983
5170143	5170143
3846898	3846898
4329174	4329174
2495633	2495633
3645646	3645646
2628167	2628167
2039592	2039592
4279158	4279158
1305729	1305729
4772967	4772967
5707278	5707278
5649466	5649466
3670562	3670562
3246199	3246199
3055646	3055646
1950597	1950597
2490414	2490414
5018946	5018946
5170459	5170459
1082285	1082285
5433317	5433317
2786023	2786023
1958274	1958274
1450572	1450572
2257780	2257780
5702393	5702393
5190916	5190916
2572726	2572726
3379376	3379376
1925665	1925665
5808116	5808116
5476495	5476495
4198431	4198431
2791453	2791453
1593218	1593218
1014207	1014207
5558929	5558929
4157210	4157210
1587456	1587456
1472563	1472563
1227507	1227507
3346708	3346708
3599695	3599695
5399102	5399102
1198754	1198754
1412157	1412157
2628307	2628307
4467469	4467469
3910909	3910909
2117034	2117034
4986444	4986444
5231371	5231371
2019976	2019976
3221546	3221546
5939903	5939903
2620200	2620200
3755592	3755592
4580096	4580096
3933854	3933854
5012469	5012469
2875970	2875970
5922982	5922982
3684983	3684983
1045998	1045998
4776507	4776507
5145468	5145468
2286052	2286052
2011991	2011991
2249789	2249789
4416416	4416416
5025028	5025028
2531311	2531311
2491530	2491530
4458584	4458584
1447670	1447670
3393183	3393183
4992524	4992524
1409491	1409491
2690184	2690184
5579415	5579415
4751805	4751805
1659773	1659773
3068505	3068505
5941811	5941811
3430781	3430781
3140874	3140874
1385477	1385477
4030918	4030918
2401265	2401265
5729510	5729510
4367083	4367083
2533538	2533538
3633121	3633121
4568938	4568938
3624671	3624671
2262785	2262785
4258892	4258892
3556633	3556633
4984873	4984873
1211863	1211863
5262213	5262213
5851422	5851422
3482545	3482545
1822477	1822477
1573623	1573623
3585707	3585707
3659507	3659507
4800482	4800482
4849609	4849609
4779543	4779543
4405130	4405130
1466308	1466308
5044334	5044334
4564552	4564552
5253233	5253233
2678946	2678946
1552886	1552886
2402238	2402238
3441578	3441578
5624810	5624810
1697482	1697482
3105481	3105481
3965652	3965652
4497889	4497889
5214451	5214451
1764052	1764052
2605746	2605746
4861058	4861058
5376733	5376733
1773962	1773962
1781652	1781652
5111925	5111925
3211738	3211738
1051501	1051501
2351645	2351645
1814253	1814253
3164378	3164378
3418655	3418655
3507443	3507443
1912038	1912038
3132104	3132104
3782158	3782158
4508410	4508410
4206753	4206753
1875508	1875508
4367585	4367585
4265483	4265483
2079893	2079893
5748154	5748154
3766045	3766045
4146591	4146591
4984980	4984980
2161595	2161595
5921227	5921227
1034934	1034934
2462007	2462007
4776629	4776629
1306298	1306298
5146902	5146902
4675424	4675424
5581353	5581353
5361079	5361079
1300982	1300982
5867501	5867501
1234937	1234937
5331957	5331957
3382697	3382697
4237180	4237180
2302152	2302152
1010005	1010005
1099797	1099797
2363406	2363406
4433090	4433090
1376213	1376213
1020523	1020523
1383802	1383802
2263083	2263083
3772759	3772759
3105103	3105103
2166181	2166181
4822628	4822628
3945595	3945595
2823282	2823282
4752222	4752222
4786325	4786325
4258499	4258499
2705707	2705707
4798027	4798027
4953221	4953221
4022972	4022972
4413938	4413938
4593919	4593919
5517714	5517714
3988390	3988390
1774945	1774945
3173393	3173393
4788381	4788381
3502991	3502991
2119228	2119228
1663651	1663651
5604716	5604716
1266381	1266381
3301297	3301297
4801603	4801603
5739088	5739088
1727531	1727531
3329659	3329659
4203520	4203520
2635413	2635413
1093431	1093431
5570211	5570211
2199448	2199448
3140506	3140506
1514436	1514436
4144641	4144641
4982286	4982286
2979495	2979495
1276151	1276151
2885440	2885440
4345400	4345400
2722784	2722784
1319074	1319074
5138369	5138369
5380984	5380984
5960518	5960518
1328283	1328283
1826123	1826123
4417771	4417771
3220253	3220253
2746610	2746610
2352119	2352119
1240789	1240789
3546743	3546743
2271407	2271407
3869054	3869054
3810579	3810579
5494437	5494437
1126252	1126252
3606930	3606930
3230866	3230866
5113057	5113057
5093575	5093575
1322970	1322970
5201478	5201478
4669348	4669348
5199495	5199495
2474621	2474621
5152320	5152320
4548782	4548782
1980162	1980162
5785927	5785927
3198988	3198988
1521692	1521692
1099106	1099106
2066661	2066661
2979540	2979540
1983447	1983447
5798140	5798140
3299065	3299065
3121231	3121231
1985158	1985158
3903082	3903082
3257918	3257918
4556458	4556458
1183715	1183715
2153571	2153571
2571444	2571444
1326744	1326744
3832019	3832019
2276072	2276072
4057264	4057264
3821262	3821262
3608182	3608182
3026005	3026005
5731448	5731448
4331507	4331507
4541735	4541735
2443907	2443907
3360876	3360876
1645405	1645405
5524021	5524021
4833616	4833616
4958028	4958028
2757702	2757702
2277367	2277367
4142401	4142401
3816831	3816831
1973470	1973470
1633890	1633890
3676853	3676853
5504217	5504217
1565361	1565361
5504418	5504418
1553634	1553634
5575413	5575413
3624513	3624513
4463016	4463016
2253781	2253781
3073832	3073832
2364424	2364424
4552643	4552643
3130501	3130501
5495373	5495373
2294516	2294516
1158643	1158643
3400033	3400033
2548536	2548536
5384117	5384117
2423881	2423881
2491951	2491951
2143832	2143832
3208253	3208253
3012140	3012140
5689612	5689612
2808372	2808372
2362335	2362335
4672849	4672849
5618702	5618702
3278690	3278690
2629994	2629994
1017300	1017300
2791115	2791115
